"_id","bonne_reponse","description","id_quiz","question","reponse_1","reponse_2","reponse_3","reponse_4"
"62f38b925c350000f0000cb2","1","Le site où a été retrouvé Louise de Quengo, le couvent des Jacobins à Rennes, est fouillé depuis 2011 par l’Inrap. Entre le XVème et le XVIIIème siècle, cet établissement religieux est devenu un important lieu de pèlerinage et d’inhumation. Ainsi, environ 800 sépultures y ont été mises au jour par les archéologues. Quatre autres cercueils de plomb, datés du XVIIe siècle, ont également été retrouvés. Ils étaient aussi accompagnés de reliquaires en forme de cœur.","1","Où le cercueil de Louise de Quengo a-t-il été retrouvé ?","Rennes","Paris","Anger","Matignon"
"62f38be05c350000f0000cb4","3","Des fresques exceptionnelles de l’époque romaine ont été mises au jour à Arles en juillet dernier. Mettant en scène des personnages très finement travaillés, ces peintures murales ont dévoilé un style de représentation extrêmement rare. Une première campagne de fouilles avait révélé en 2014 dans une pièce associée à une chambre à coucher, un rare décor peint de deuxième style pompéien, daté entre 70 et 20 avant notre ère.","2","A quel style appartient cette fresque romaine trouvée à Arles ?","Premier style","Style structural","Deuxième style Pompéin","Style à incrustation"
"62f38bf35c350000f0000cb5","2","Selon le chercheur Erik Bruijn, spécialiste de l’art bouddhique, il pourrait s’agir de la momie de Liuquan, un célèbre maître bouddhiste de l’Ecole de méditation chinoise. La momie ne contenait aucun organe. Autre chose extraordinaire, des rouleaux de papiers recouverts d’anciens caractères chinois ont été identifiés lors de l’autopsie de la momie. Ils étaient placés là où se trouvaient autrefois les organes du défunt.","3","Qu'a-t-on retrouvé à la place des organes dans la momie retrouvée dans une statue bouddhiste ?","Des cailloux","Des rouleaux de papiers","Rien","De la paille"
"62f38cb15c350000f0000cb8","4","D’une dimension colossale (500 mètres de circonférence), la tombe repose sous un tumulus artificiel de 30 mètres de hauteur. Il serait le plus grand identifié en Asie mineure et se situait autrefois dans une importante cité grecque. Sous le tumulus, la sépulture est gardée par deux énormes sphinx et des cariatides (statues de femmes servant de colonnes) de plus de deux mètres de haut. Devant l’ampleur de cette tombe, la question de l’identité de son occupant s’est vite posée. Pourrait-il s’agir de la tombe d’Alexandre le Grand, de sa mère Olympias ou de son épouse Roxane ? La sépulture malheureusement pillée a dans l’ensemble livré peu d’indices. En janvier 2015, la découverte de cinq squelettes, quatre enterrés et un incinéré, ne fait qu’épaissir le mystère. Ont été identifiés le corps d’une femme de plus de 60 ans, d’un bébé et de deux hommes âgés entre 35 et 45 ans.","4","Combien de squelettes ont été retrouvés dans la tombe d’Amphipolis en Grèce ?","2","3","4","5"
"62f38ce45c350000f0000cb9","3","En août 2015, les vestiges d’une cité fortifiée de l’âge de Bronze sont mis au jour dans une baie du Péloponnèse en Grèce. Une importante découverte qui devrait permettre d’en savoir plus sur cette période de l’histoire de la Grèce. Ces vestiges reposaient sous l’eau, à 1 à 3 mètres de fond. Ils recouvraient une superficie d’au moins 1,2 hectare.","5","Qu'a-t-il été retrouvé dans une baie du Péloponnèse en Grèce en août 2015 ?","Une tombe","Un navire","Une cité fortifiée","Des squelettes de dinosaures"
"62f38d195c350000f0000cba","1","En août dernier, l’égyptologue Nicolas Reeves a émis une extraordinaire hypothèse : deux pièces inconnues pourraient se trouver dans le tombeau du célèbre pharaon de la XVIIIe dynastie. Selon l’archéologue, ces deux pièces pourraient abriter la sépulture de la reine Néfertiti, épouse du pharaon Akhénaton, père de Toutankhamon. Nicolas Reeves aurait en effet repéré sur des images de haute précision ainsi que sur des relevés 3D, des fissures et des tracés linéaires sous les couches de peintures du tombeau qui pourraient indiquer la présence de deux portes cachées.","6","Quel égyptologue a émis l'extraordinaire hypothèse que deux pièces inconnues pourraient se trouver dans le tombeau de Toutankhamon ?","Nicolas Reeves","Jean-François Champollion","James Peter Allen","Thomas George Allen"
"62f38d375c350000f0000cbb","4","24 nouveaux géoglyphes auraient été identifiés sur le plateau de Nazca au Pérou, à 1,5 kilomètre au nord de la ville de Nazca.   Ces gigantesques dessins tracés sur le sol et visibles en hauteur ont été découverts par une équipe de chercheurs japonais. Selon ces derniers, ces nouvelles figures pourraient être antérieures (200-400 avant J.C.) aux célèbres géoglyphes de Nazca (400-650 après J.C.) inscrits au patrimoine mondial de l’Unesco.","7","Combien de géoglyphes auraient été identifiés sur le plateau de Nazca au Pérou en 2015 ?","12","57","14","24"
"62f38d4c5c350000f0000cbc","2","La civilisation étrusque commença à prospérer vers 900 avant J.C. Elle domina une partie de l’Italie avant de progressivement décliner vers le Vème sicèle avant J.C. et d’être finalement absorbée par l’empire romain entre 300 et 100 avant notre ère.","8","Vers quel année la civilisation étrusque commença à prospérer ?","600 avant J.C","900 avant J.C","200 après J.C","1200 avant J.C"
"62f38d5c5c350000f0000cbd","4","En septembre 2015, les vestiges d’un autre monument mégalithique ont été mis au jour. En effet, 90 pierres couchées et enterrées sous un mètre de terre ont été découvertes à trois kilomètres du célèbre site de Stonehenge grâce à des techniques de prospection géophysique.","9","Combien de pierres ont été retrouvés Salisbury ?","54","30","120","90"
"62f38d765c350000f0000cbe","1","Quant à l’occupant de cette tombe, il s’agissait d’un individu richement paré de bijoux et dont le sexe n’avait pas encore pu être déterminé en raison du mauvais état de conservation des ossements. Depuis décembre, le voile est levé sur le sexe du défunt, il s’agissait d’un homme. Des analyses d’ADN pourront également être menées afin de déterminer de possibles filiations avec d’autres occupants de tombes, à l’exemple de deux sépultures de l’âge du fer qui pourraient potentiellement contenir des ancêtres de ce prince celte.","10","De quel sexe est le defunt retrouvé dans une tombe princière celte en 2015 ?","Homme","Femme","Mi-femme et mi-homme","On ne sait pas encore"
